mode,metric,k,l,d,alpha,index,real,pred,error
mean,l2,3,12,3,0.500000,3447,0.957443,0.962760,0.005316
mean,l2,3,12,3,0.500000,3448,0.957788,0.964303,0.006515
mean,l2,3,12,3,0.500000,3449,0.958251,0.963311,0.005059
mean,l2,3,12,3,0.500000,3450,0.958832,0.964303,0.005472
mean,l2,3,12,3,0.500000,3451,0.959530,0.965330,0.005800
mean,l2,3,12,3,0.500000,3452,0.960349,0.966358,0.006009
mean,l2,3,12,3,0.500000,3453,0.961289,0.967352,0.006063
mean,l2,3,12,3,0.500000,3454,0.962353,0.968569,0.006216
mean,l2,3,12,3,0.500000,3455,0.963541,0.968953,0.005412
mean,l2,3,12,3,0.500000,3456,0.964856,0.969794,0.004938
mean,l2,3,12,3,0.500000,3457,0.966300,0.970557,0.004257
mean,l2,3,12,3,0.500000,3458,0.967874,0.970053,0.002179
mean,l2,3,12,3,0.500000,3459,0.969580,0.971136,0.001556
mean,l2,3,12,3,0.500000,3460,0.971401,0.972903,0.001503
mean,l2,3,12,3,0.500000,3461,0.973248,0.974014,0.000766
mean,l2,3,12,3,0.500000,3462,0.975013,0.975629,0.000615
mean,l2,3,12,3,0.500000,3463,0.976590,0.977007,0.000417
mean,l2,3,12,3,0.500000,3464,0.977871,0.978113,0.000241
mean,l2,3,12,3,0.500000,3465,0.978748,0.975118,0.003631
mean,l2,3,12,3,0.500000,3466,0.979114,0.971567,0.007547
mean,l2,3,12,3,0.500000,3467,0.978862,0.968446,0.010416
mean,l2,3,12,3,0.500000,3468,0.977883,0.937930,0.039953
mean,l2,3,12,3,0.500000,3469,0.976071,0.944777,0.031294
mean,l2,3,12,3,0.500000,3470,0.973289,0.935319,0.037970
mean,l2,3,12,3,0.500000,3471,0.969281,0.932969,0.036311
mean,l2,3,12,3,0.500000,3472,0.963762,0.920618,0.043144
mean,l2,3,12,3,0.500000,3473,0.956448,0.902779,0.053669
mean,l2,3,12,3,0.500000,3474,0.947054,0.892371,0.054683
